"0...1","Число избирателей, внесенных в список избирателей на момент окончания голосования","Число избирательных бюллетеней, полученных участковой избирательной комиссией","Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно","Число избирательных бюллетеней, выданных в помещении для голосования в день голосования","Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования","Число погашенных избирательных бюллетеней","Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования","Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования","Число недействительных избирательных бюллетеней","Число действительных избирательных бюллетеней","Число открепительных удостоверений, полученных участковой избирательной комиссией","Число открепительных удостоверений, выданных на избирательном участке до дня голосования","Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке","Число погашенных неиспользованных открепительных удостоверений","Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией","Число утраченных открепительных удостоверений","Число утраченных избирательных бюллетеней","Число избирательных бюллетеней, не учтенных при получении","0...20","1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""","0...22","2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ","0...24","3. Политическая партия ""Российская партия пенсионеров за справедливость""","0...26","4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""","0...28","5. Политическая партия ""Российская экологическая партия ""Зеленые""","0...30","6. Политическая партия ""Гражданская Платформа""","0...32","7. Политическая партия ЛДПР - Либерально-демократическая партия России","0...34","8. Политическая партия ""Партия народной свободы"" (ПАРНАС)","0...36","9. Всероссийская политическая партия ""ПАРТИЯ РОСТА""","0...38","10. Общественная организация Всероссийская политическая партия ""Гражданская Сила""","0...40","11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""","0...42","12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""","0...44","13. Политическая партия ""ПАТРИОТЫ РОССИИ""","0...46","14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ","0...48"
"УИК №1934",1314,1000,0,368,1,631,1,365,1,365,30,8,11,22,2,0,0,0,0,15,"4.10%",4,"1.09%",8,"2.19%",106,"28.96%",7,"1.91%",2,"0.55%",34,"9.29%",18,"4.92%",56,"15.30%",0,"0.00%",44,"12.02%",47,"12.84%",1,"0.27%",23,"6.28%"
"УИК №1935",1572,1500,0,464,0,1036,0,464,10,454,30,10,13,20,12,0,0,0,0,4,"0.86%",8,"1.72%",9,"1.94%",169,"36.42%",10,"2.16%",0,"0.00%",53,"11.42%",8,"1.72%",32,"6.90%",1,"0.22%",34,"7.33%",47,"10.13%",7,"1.51%",72,"15.52%"
"УИК №1936",1664,1500,0,449,2,1049,2,449,8,443,30,11,12,19,6,0,0,0,0,13,"2.88%",1,"0.22%",18,"3.99%",165,"36.59%",8,"1.77%",3,"0.67%",49,"10.86%",17,"3.77%",33,"7.32%",1,"0.22%",44,"9.76%",38,"8.43%",0,"0.00%",53,"11.75%"
"УИК №1937",2382,2000,0,782,3,1215,3,780,10,773,40,21,22,19,3,0,0,0,0,20,"2.55%",12,"1.53%",14,"1.79%",245,"31.29%",9,"1.15%",2,"0.26%",70,"8.94%",18,"2.30%",71,"9.07%",3,"0.38%",115,"14.69%",118,"15.07%",1,"0.13%",75,"9.58%"
"УИК №1938",2489,2500,0,770,10,1720,10,767,14,763,40,33,12,7,7,0,0,0,0,24,"3.09%",8,"1.03%",21,"2.70%",252,"32.43%",20,"2.57%",3,"0.39%",66,"8.49%",38,"4.89%",71,"9.14%",3,"0.39%",77,"9.91%",92,"11.84%",4,"0.51%",84,"10.81%"
"УИК №1939",2414,2000,0,780,9,1211,9,780,18,771,40,30,22,10,8,0,0,0,0,29,"3.68%",7,"0.89%",15,"1.90%",263,"33.33%",20,"2.53%",2,"0.25%",95,"12.04%",11,"1.39%",55,"6.97%",3,"0.38%",78,"9.89%",112,"14.20%",7,"0.89%",74,"9.38%"
"УИК №1940",2177,2000,0,652,1,1347,1,651,7,645,40,17,11,23,6,0,0,0,0,35,"5.37%",7,"1.07%",1,"0.15%",209,"32.06%",18,"2.76%",0,"0.00%",74,"11.35%",18,"2.76%",74,"11.35%",0,"0.00%",79,"12.12%",63,"9.66%",8,"1.23%",59,"9.05%"
"УИК №1941",338,400,0,156,113,131,113,156,21,248,20,0,9,20,0,0,0,0,0,2,"0.74%",10,"3.72%",13,"4.83%",130,"48.33%",4,"1.49%",0,"0.00%",38,"14.13%",2,"0.74%",4,"1.49%",0,"0.00%",11,"4.09%",21,"7.81%",2,"0.74%",11,"4.09%"
"УИК №1942",2526,2000,0,669,1,1330,1,668,9,660,40,22,13,18,3,0,0,0,0,31,"4.63%",3,"0.45%",11,"1.64%",222,"33.18%",15,"2.24%",1,"0.15%",96,"14.35%",31,"4.63%",53,"7.92%",0,"0.00%",79,"11.81%",71,"10.61%",1,"0.15%",46,"6.88%"
"УИК №1943",2858,2500,0,569,0,1931,0,569,8,561,40,14,13,26,9,0,0,0,0,24,"4.22%",7,"1.23%",6,"1.05%",173,"30.40%",11,"1.93%",1,"0.18%",74,"13.01%",24,"4.22%",40,"7.03%",3,"0.53%",83,"14.59%",57,"10.02%",1,"0.18%",57,"10.02%"
"УИК №1944",2664,2500,0,579,3,1918,3,577,9,571,40,21,21,19,5,0,0,0,0,20,"3.45%",5,"0.86%",5,"0.86%",200,"34.48%",13,"2.24%",3,"0.52%",64,"11.03%",25,"4.31%",52,"8.97%",1,"0.17%",83,"14.31%",49,"8.45%",3,"0.52%",48,"8.28%"
"УИК №1945",326,400,0,133,193,74,193,128,11,310,0,0,31,0,0,0,0,0,0,4,"1.25%",6,"1.87%",9,"2.80%",165,"51.40%",6,"1.87%",3,"0.93%",42,"13.08%",0,"0.00%",10,"3.12%",0,"0.00%",13,"4.05%",28,"8.72%",2,"0.62%",22,"6.85%"
"УИК №1946",438,500,0,283,66,151,66,283,6,343,0,0,27,0,0,0,0,0,0,7,"2.01%",4,"1.15%",10,"2.87%",167,"47.85%",8,"2.29%",0,"0.00%",40,"11.46%",4,"1.15%",29,"8.31%",0,"0.00%",13,"3.72%",37,"10.60%",0,"0.00%",24,"6.88%"
"Сумма",163764,142000,0,49487,782,91728,782,49370,938,49214,3150,1716,888,1434,228,0,3,0,0,1373,"2.74%",586,"1.17%",1231,"2.45%",19534,"38.95%",831,"1.66%",126,"0.25%",6057,"12.08%",923,"1.84%",4056,"8.09%",150,"0.30%",3654,"7.29%",6058,"12.08%",299,"0.60%",4336,"8.65%"
"УИК №1058",2041,2000,0,594,7,1399,7,594,13,588,40,14,3,26,2,0,0,0,0,7,"1.16%",8,"1.33%",13,"2.16%",238,"39.60%",13,"2.16%",2,"0.33%",54,"8.99%",12,"1.99%",64,"10.65%",1,"0.17%",40,"6.66%",74,"12.31%",2,"0.33%",60,"9.98%"
"УИК №1059",2383,2000,0,744,12,1244,12,744,8,748,40,31,16,9,0,0,0,0,0,19,"2.51%",9,"1.19%",18,"2.38%",292,"38.62%",12,"1.59%",0,"0.00%",66,"8.73%",18,"2.38%",95,"12.57%",1,"0.13%",75,"9.92%",91,"12.04%",1,"0.13%",51,"6.75%"
"УИК №1060",2047,2000,0,643,10,1347,10,640,9,641,40,16,4,24,3,0,0,0,0,15,"2.31%",7,"1.08%",23,"3.54%",259,"39.85%",18,"2.77%",2,"0.31%",53,"8.15%",8,"1.23%",77,"11.85%",3,"0.46%",47,"7.23%",71,"10.92%",5,"0.77%",53,"8.15%"
"УИК №1061",2008,2000,0,587,9,1404,9,583,12,580,40,12,2,28,1,0,0,0,0,10,"1.69%",5,"0.84%",13,"2.20%",228,"38.51%",10,"1.69%",1,"0.17%",71,"11.99%",6,"1.01%",74,"12.50%",3,"0.51%",37,"6.25%",73,"12.33%",1,"0.17%",48,"8.11%"
"УИК №1062",2104,2000,0,662,11,1327,11,662,10,663,40,25,5,15,2,0,0,0,0,18,"2.67%",11,"1.63%",17,"2.53%",270,"40.12%",5,"0.74%",0,"0.00%",74,"10.99%",12,"1.78%",63,"9.36%",3,"0.45%",45,"6.69%",87,"12.93%",2,"0.30%",56,"8.32%"
"УИК №1063",1957,1500,0,475,5,1020,5,475,5,475,40,16,9,24,1,0,0,0,0,16,"3.33%",12,"2.50%",9,"1.88%",183,"38.13%",5,"1.04%",1,"0.21%",60,"12.50%",6,"1.25%",36,"7.50%",2,"0.42%",45,"9.38%",60,"12.50%",1,"0.21%",39,"8.13%"
"УИК №1064",1852,1500,0,618,9,873,9,618,13,614,40,21,6,19,7,0,0,0,0,23,"3.67%",4,"0.64%",9,"1.44%",226,"36.04%",6,"0.96%",1,"0.16%",61,"9.73%",15,"2.39%",67,"10.69%",2,"0.32%",86,"13.72%",71,"11.32%",3,"0.48%",40,"6.38%"
"УИК №1065",1923,1500,0,633,32,832,32,630,8,654,40,12,10,28,1,0,3,0,0,18,"2.72%",4,"0.60%",14,"2.11%",293,"44.26%",6,"0.91%",1,"0.15%",72,"10.88%",13,"1.96%",54,"8.16%",2,"0.30%",42,"6.34%",76,"11.48%",5,"0.76%",54,"8.16%"
"УИК №1066",1933,1500,0,618,34,848,34,615,10,639,40,21,7,19,5,0,0,0,0,18,"2.77%",12,"1.85%",20,"3.08%",289,"44.53%",5,"0.77%",3,"0.46%",59,"9.09%",11,"1.69%",50,"7.70%",1,"0.15%",36,"5.55%",74,"11.40%",3,"0.46%",58,"8.94%"
"УИК №1067",1861,1500,0,658,4,838,4,658,14,648,40,16,19,24,1,0,0,0,0,20,"3.02%",5,"0.76%",24,"3.63%",245,"37.01%",13,"1.96%",1,"0.15%",56,"8.46%",7,"1.06%",76,"11.48%",2,"0.30%",48,"7.25%",91,"13.75%",2,"0.30%",58,"8.76%"
"УИК №1068",1090,1000,0,395,14,591,14,395,6,403,40,10,7,30,3,0,0,0,0,10,"2.44%",5,"1.22%",15,"3.67%",174,"42.54%",7,"1.71%",1,"0.24%",49,"11.98%",0,"0.00%",24,"5.87%",3,"0.73%",35,"8.56%",55,"13.45%",2,"0.49%",23,"5.62%"
"УИК №1069",2222,2000,0,727,14,1259,14,727,14,727,40,13,16,27,2,0,0,0,0,12,"1.62%",9,"1.21%",26,"3.51%",307,"41.43%",15,"2.02%",1,"0.13%",71,"9.58%",13,"1.75%",65,"8.77%",1,"0.13%",60,"8.10%",89,"12.01%",4,"0.54%",54,"7.29%"
"УИК №1070",1768,1500,0,563,13,924,13,562,21,554,40,11,12,29,1,0,0,0,0,12,"2.09%",6,"1.04%",15,"2.61%",213,"37.04%",7,"1.22%",1,"0.17%",66,"11.48%",14,"2.43%",51,"8.87%",2,"0.35%",44,"7.65%",74,"12.87%",0,"0.00%",49,"8.52%"
"УИК №1071",2114,2000,0,600,4,1396,4,598,7,595,40,7,5,33,1,0,0,0,0,29,"4.82%",7,"1.16%",10,"1.66%",182,"30.23%",11,"1.83%",2,"0.33%",71,"11.79%",14,"2.33%",66,"10.96%",2,"0.33%",62,"10.30%",90,"14.95%",3,"0.50%",46,"7.64%"
"УИК №1072",2292,2000,0,667,5,1328,5,666,10,661,40,15,9,25,0,0,0,0,0,21,"3.13%",2,"0.30%",21,"3.13%",253,"37.70%",10,"1.49%",3,"0.45%",82,"12.22%",15,"2.24%",52,"7.75%",3,"0.45%",55,"8.20%",89,"13.26%",2,"0.30%",53,"7.90%"
"УИК №1073",1770,1500,0,593,1,906,1,592,12,581,40,20,8,20,1,0,0,0,0,15,"2.53%",8,"1.35%",21,"3.54%",192,"32.38%",10,"1.69%",2,"0.34%",75,"12.65%",18,"3.04%",54,"9.11%",2,"0.34%",57,"9.61%",73,"12.31%",4,"0.67%",50,"8.43%"
"УИК №1074",1754,1500,0,608,6,886,6,606,7,605,40,15,9,25,0,0,0,0,0,21,"3.43%",7,"1.14%",9,"1.47%",238,"38.89%",12,"1.96%",2,"0.33%",82,"13.40%",10,"1.63%",63,"10.29%",2,"0.33%",43,"7.03%",70,"11.44%",1,"0.16%",45,"7.35%"
"УИК №1075",1928,1500,0,552,2,946,2,552,3,551,40,25,4,15,0,0,0,0,0,11,"1.99%",9,"1.62%",17,"3.07%",204,"36.82%",13,"2.35%",1,"0.18%",59,"10.65%",8,"1.44%",50,"9.03%",1,"0.18%",34,"6.14%",73,"13.18%",9,"1.62%",62,"11.19%"
"УИК №1076",1949,1500,0,600,5,895,5,600,9,596,40,24,19,16,1,0,0,0,0,22,"3.64%",6,"0.99%",17,"2.81%",232,"38.35%",7,"1.16%",0,"0.00%",69,"11.40%",5,"0.83%",52,"8.60%",5,"0.83%",46,"7.60%",80,"13.22%",2,"0.33%",53,"8.76%"
"УИК №1077",2642,2500,0,843,9,1648,9,834,20,823,40,18,9,22,1,0,0,0,0,15,"1.78%",11,"1.30%",15,"1.78%",314,"37.25%",9,"1.07%",2,"0.24%",88,"10.44%",20,"2.37%",70,"8.30%",1,"0.12%",54,"6.41%",123,"14.59%",4,"0.47%",97,"11.51%"
"УИК №1078",1998,2000,0,550,5,1445,5,550,13,542,40,16,11,24,1,0,0,0,0,16,"2.88%",5,"0.90%",14,"2.52%",192,"34.59%",4,"0.72%",1,"0.18%",43,"7.75%",14,"2.52%",64,"11.53%",2,"0.36%",58,"10.45%",83,"14.95%",0,"0.00%",46,"8.29%"
"УИК №1079",1943,1500,0,602,17,881,17,602,7,612,40,15,12,25,2,0,0,0,0,10,"1.62%",5,"0.81%",17,"2.75%",237,"38.29%",17,"2.75%",1,"0.16%",57,"9.21%",12,"1.94%",51,"8.24%",1,"0.16%",56,"9.05%",96,"15.51%",1,"0.16%",51,"8.24%"
"УИК №1080",2085,2000,0,721,12,1267,12,721,16,717,40,27,24,13,7,0,0,0,0,19,"2.59%",13,"1.77%",26,"3.55%",275,"37.52%",18,"2.46%",0,"0.00%",84,"11.46%",17,"2.32%",56,"7.64%",2,"0.27%",41,"5.59%",110,"15.01%",3,"0.41%",53,"7.23%"
"УИК №1081",2461,2000,0,717,4,1279,4,714,16,702,40,17,17,23,1,0,0,0,0,21,"2.92%",15,"2.09%",7,"0.97%",264,"36.77%",13,"1.81%",0,"0.00%",84,"11.70%",12,"1.67%",67,"9.33%",3,"0.42%",44,"6.13%",101,"14.07%",4,"0.56%",67,"9.33%"
"УИК №1082",2307,2000,0,698,7,1295,7,694,18,683,40,16,15,24,5,0,0,0,0,19,"2.71%",11,"1.57%",19,"2.71%",263,"37.52%",10,"1.43%",0,"0.00%",96,"13.69%",14,"1.99%",50,"7.13%",2,"0.29%",56,"7.99%",67,"9.56%",7,"0.99%",69,"9.84%"
"УИК №1086",2457,2000,0,694,9,1297,9,691,22,678,40,31,23,9,5,0,0,0,0,18,"2.57%",7,"1.00%",14,"2.00%",266,"38.00%",20,"2.86%",1,"0.14%",77,"11.00%",14,"2.00%",56,"8.00%",2,"0.29%",46,"6.57%",85,"12.14%",4,"0.57%",68,"9.71%"
"УИК №1087",2273,2000,0,706,22,1272,22,703,10,715,40,20,12,20,0,0,0,0,0,13,"1.79%",7,"0.97%",14,"1.93%",282,"38.90%",14,"1.93%",6,"0.83%",85,"11.72%",17,"2.34%",73,"10.07%",2,"0.28%",42,"5.79%",89,"12.28%",3,"0.41%",68,"9.38%"
"УИК №1088",2452,2000,0,1502,38,460,38,1502,36,1504,140,93,20,47,25,0,0,0,0,37,"2.40%",22,"1.43%",15,"0.97%",924,"60.00%",17,"1.10%",8,"0.52%",224,"14.55%",14,"0.91%",24,"1.56%",5,"0.32%",35,"2.27%",106,"6.88%",12,"0.78%",61,"3.96%"
"УИК №1089",1671,1500,0,484,13,1003,13,484,7,490,40,17,29,23,1,0,0,0,0,13,"2.62%",5,"1.01%",15,"3.02%",185,"37.22%",11,"2.21%",2,"0.40%",81,"16.30%",12,"2.41%",32,"6.44%",1,"0.20%",38,"7.65%",52,"10.46%",1,"0.20%",42,"8.45%"
"УИК №1090",1586,1500,0,411,5,1084,5,411,6,410,40,23,24,17,3,0,0,0,0,6,"1.44%",3,"0.72%",13,"3.13%",179,"43.03%",7,"1.68%",0,"0.00%",64,"15.38%",5,"1.20%",28,"6.73%",1,"0.24%",28,"6.73%",51,"12.26%",0,"0.00%",25,"6.01%"
"УИК №1091",1774,1500,0,558,5,937,5,558,8,555,40,22,11,18,2,0,0,0,0,11,"1.95%",11,"1.95%",20,"3.55%",213,"37.83%",8,"1.42%",1,"0.18%",49,"8.70%",19,"3.37%",52,"9.24%",2,"0.36%",36,"6.39%",69,"12.26%",3,"0.53%",61,"10.83%"
"УИК №1092",2220,2000,0,671,12,1317,12,671,15,668,40,23,9,17,6,0,0,0,0,10,"1.46%",10,"1.46%",12,"1.76%",286,"41.87%",10,"1.46%",1,"0.15%",52,"7.61%",16,"2.34%",52,"7.61%",2,"0.29%",53,"7.76%",98,"14.35%",3,"0.44%",63,"9.22%"
"УИК №1093",2563,2500,0,739,12,1749,12,739,22,729,40,18,10,22,7,0,0,0,0,18,"2.40%",9,"1.20%",32,"4.26%",280,"37.28%",12,"1.60%",1,"0.13%",96,"12.78%",8,"1.07%",48,"6.39%",2,"0.27%",50,"6.66%",85,"11.32%",3,"0.40%",85,"11.32%"
"УИК №1094",1675,1500,0,703,1,796,1,703,11,693,40,31,7,9,5,0,0,0,0,15,"2.13%",3,"0.43%",9,"1.28%",295,"41.90%",7,"0.99%",5,"0.71%",105,"14.91%",7,"0.99%",39,"5.54%",5,"0.71%",33,"4.69%",115,"16.34%",6,"0.85%",49,"6.96%"
"УИК №1095",2116,2000,0,645,13,1342,13,639,14,638,40,26,15,14,1,0,0,0,0,13,"1.99%",9,"1.38%",21,"3.22%",254,"38.96%",14,"2.15%",1,"0.15%",79,"12.12%",8,"1.23%",45,"6.90%",0,"0.00%",46,"7.06%",81,"12.42%",3,"0.46%",64,"9.82%"
"УИК №1096",2034,2000,0,585,10,1405,10,575,15,570,40,17,13,23,1,0,0,0,0,12,"2.05%",10,"1.71%",19,"3.25%",224,"38.29%",11,"1.88%",3,"0.51%",81,"13.85%",10,"1.71%",32,"5.47%",2,"0.34%",29,"4.96%",75,"12.82%",6,"1.03%",56,"9.57%"
"УИК №1097",1976,1500,0,557,21,922,21,553,10,564,40,32,23,8,0,0,0,0,0,18,"3.14%",6,"1.05%",15,"2.61%",212,"36.93%",14,"2.44%",4,"0.70%",57,"9.93%",12,"2.09%",45,"7.84%",3,"0.52%",36,"6.27%",81,"14.11%",3,"0.52%",58,"10.10%"
"УИК №1098",2084,2000,0,633,8,1359,8,633,15,626,40,36,10,4,3,0,0,0,0,19,"2.96%",4,"0.62%",16,"2.50%",248,"38.69%",10,"1.56%",0,"0.00%",76,"11.86%",7,"1.09%",51,"7.96%",2,"0.31%",42,"6.55%",89,"13.88%",4,"0.62%",58,"9.05%"
"УИК №1099",2689,2500,0,844,13,1643,13,841,12,842,40,32,11,8,8,0,0,0,0,23,"2.69%",6,"0.70%",21,"2.46%",313,"36.65%",10,"1.17%",2,"0.23%",94,"11.01%",26,"3.04%",65,"7.61%",3,"0.35%",67,"7.85%",128,"14.99%",4,"0.47%",80,"9.37%"
"УИК №1100",1918,1500,0,490,5,1005,5,485,11,479,40,24,11,16,4,0,0,0,0,20,"4.08%",7,"1.43%",12,"2.45%",176,"35.92%",11,"2.24%",0,"0.00%",72,"14.69%",9,"1.84%",28,"5.71%",1,"0.20%",19,"3.88%",73,"14.90%",1,"0.20%",50,"10.20%"
"УИК №1101",1898,1500,0,618,11,871,11,614,16,609,40,21,12,19,3,0,0,0,0,19,"3.04%",12,"1.92%",15,"2.40%",250,"40.00%",9,"1.44%",3,"0.48%",88,"14.08%",9,"1.44%",38,"6.08%",4,"0.64%",37,"5.92%",68,"10.88%",1,"0.16%",56,"8.96%"
"УИК №1102",2152,2000,0,564,4,1432,4,564,16,552,40,31,5,9,4,0,0,0,0,13,"2.29%",9,"1.58%",11,"1.94%",227,"39.96%",10,"1.76%",1,"0.18%",84,"14.79%",8,"1.41%",46,"8.10%",3,"0.53%",29,"5.11%",65,"11.44%",1,"0.18%",45,"7.92%"
"УИК №1103",2464,2000,0,690,10,1300,10,689,14,685,40,24,17,16,3,0,0,0,0,25,"3.58%",9,"1.29%",18,"2.58%",257,"36.77%",10,"1.43%",1,"0.14%",75,"10.73%",13,"1.86%",53,"7.58%",0,"0.00%",72,"10.30%",99,"14.16%",6,"0.86%",47,"6.72%"
"УИК №1104",1932,1500,0,636,17,847,17,634,19,632,40,21,16,19,2,0,0,0,0,10,"1.54%",4,"0.61%",23,"3.53%",243,"37.33%",7,"1.08%",1,"0.15%",75,"11.52%",12,"1.84%",49,"7.53%",1,"0.15%",62,"9.52%",81,"12.44%",2,"0.31%",62,"9.52%"
"УИК №1105",2305,2000,0,658,14,1328,14,658,14,658,40,15,27,25,1,0,0,0,0,19,"2.83%",11,"1.64%",19,"2.83%",246,"36.61%",6,"0.89%",2,"0.30%",92,"13.69%",10,"1.49%",48,"7.14%",2,"0.30%",68,"10.12%",76,"11.31%",6,"0.89%",53,"7.89%"
"УИК №1106",2333,2000,0,730,15,1255,15,730,18,727,40,28,28,12,4,0,0,0,0,17,"2.28%",6,"0.81%",24,"3.22%",294,"39.46%",14,"1.88%",6,"0.81%",98,"13.15%",14,"1.88%",53,"7.11%",7,"0.94%",56,"7.52%",89,"11.95%",3,"0.40%",46,"6.17%"
"УИК №1107",2442,2000,0,747,4,1249,4,746,9,741,40,26,4,14,1,0,0,0,0,9,"1.20%",12,"1.60%",18,"2.40%",309,"41.20%",14,"1.87%",0,"0.00%",104,"13.87%",6,"0.80%",51,"6.80%",1,"0.13%",58,"7.73%",109,"14.53%",1,"0.13%",49,"6.53%"
"УИК №1108",2413,2000,0,814,15,1171,15,809,9,815,40,20,12,20,5,0,0,0,0,25,"3.03%",14,"1.70%",17,"2.06%",323,"39.20%",15,"1.82%",0,"0.00%",129,"15.66%",9,"1.09%",65,"7.89%",0,"0.00%",45,"5.46%",91,"11.04%",9,"1.09%",73,"8.86%"
"УИК №1109",2220,2000,0,640,7,1353,7,639,10,636,40,29,5,11,0,0,0,0,0,23,"3.56%",7,"1.08%",22,"3.41%",252,"39.01%",12,"1.86%",1,"0.15%",72,"11.15%",14,"2.17%",55,"8.51%",1,"0.15%",44,"6.81%",82,"12.69%",0,"0.00%",51,"7.89%"
"УИК №1110",2367,2000,0,736,7,1257,7,735,15,727,40,29,5,11,5,0,0,0,0,30,"4.04%",11,"1.48%",18,"2.43%",282,"38.01%",16,"2.16%",3,"0.40%",83,"11.19%",17,"2.29%",52,"7.01%",1,"0.13%",65,"8.76%",91,"12.26%",6,"0.81%",52,"7.01%"
"УИК №1111",2127,2000,0,656,15,1329,15,645,10,650,40,18,7,22,4,0,0,0,0,10,"1.52%",7,"1.06%",21,"3.18%",251,"38.03%",9,"1.36%",2,"0.30%",69,"10.45%",8,"1.21%",49,"7.42%",2,"0.30%",64,"9.70%",92,"13.94%",3,"0.45%",63,"9.55%"
"УИК №1112",2808,2500,0,821,4,1675,4,821,16,809,40,35,8,5,5,0,0,0,0,28,"3.39%",15,"1.82%",17,"2.06%",319,"38.67%",28,"3.39%",7,"0.85%",96,"11.64%",12,"1.45%",61,"7.39%",3,"0.36%",56,"6.79%",95,"11.52%",5,"0.61%",67,"8.12%"
"УИК №1113",1901,1500,0,591,11,898,11,591,8,594,40,25,11,15,1,0,0,0,0,15,"2.49%",11,"1.83%",19,"3.16%",199,"33.06%",12,"1.99%",0,"0.00%",62,"10.30%",18,"2.99%",77,"12.79%",2,"0.33%",50,"8.31%",72,"11.96%",4,"0.66%",53,"8.80%"
"УИК №1114",2127,2000,0,635,18,1347,18,635,13,640,40,20,0,20,1,0,0,0,0,15,"2.30%",10,"1.53%",16,"2.45%",260,"39.82%",10,"1.53%",0,"0.00%",71,"10.87%",10,"1.53%",47,"7.20%",4,"0.61%",34,"5.21%",99,"15.16%",3,"0.46%",61,"9.34%"
"УИК №1115",2317,2000,0,702,11,1287,11,702,9,704,40,19,7,21,1,0,0,0,0,24,"3.37%",5,"0.70%",26,"3.65%",272,"38.15%",12,"1.68%",0,"0.00%",102,"14.31%",13,"1.82%",41,"5.75%",1,"0.14%",47,"6.59%",91,"12.76%",4,"0.56%",66,"9.26%"
"УИК №1116",2408,2000,0,829,4,1167,4,827,5,826,40,25,6,15,3,0,0,0,0,25,"3.01%",6,"0.72%",21,"2.53%",317,"38.15%",16,"1.93%",3,"0.36%",100,"12.03%",12,"1.44%",85,"10.23%",3,"0.36%",89,"10.71%",74,"8.90%",3,"0.36%",72,"8.66%"
"УИК №1117",2495,2000,0,765,9,1226,9,765,11,763,40,23,12,17,1,0,0,0,0,16,"2.07%",8,"1.03%",22,"2.84%",330,"42.64%",10,"1.29%",5,"0.65%",91,"11.76%",0,"0.00%",68,"8.79%",0,"0.00%",50,"6.46%",96,"12.40%",3,"0.39%",64,"8.27%"
"УИК №1118",1944,1500,0,569,15,916,15,569,10,574,40,14,2,26,2,0,0,0,0,20,"3.42%",4,"0.68%",7,"1.20%",196,"33.56%",6,"1.03%",1,"0.17%",77,"13.18%",8,"1.37%",56,"9.59%",1,"0.17%",41,"7.02%",91,"15.58%",2,"0.34%",64,"10.96%"
"УИК №1119",2284,2000,0,675,11,1314,11,674,19,666,40,19,3,21,6,0,0,0,0,28,"4.09%",8,"1.17%",21,"3.07%",267,"38.98%",5,"0.73%",2,"0.29%",74,"10.80%",12,"1.75%",59,"8.61%",4,"0.58%",55,"8.03%",69,"10.07%",3,"0.44%",59,"8.61%"
"УИК №1120",2317,2000,0,823,14,1163,14,818,18,814,40,19,9,21,1,0,0,0,0,25,"3.00%",14,"1.68%",42,"5.05%",306,"36.78%",16,"1.92%",3,"0.36%",104,"12.50%",18,"2.16%",63,"7.57%",4,"0.48%",40,"4.81%",107,"12.86%",5,"0.60%",67,"8.05%"
"УИК №1121",2227,2000,0,753,6,1241,6,751,16,741,40,21,12,19,3,0,0,0,0,17,"2.25%",6,"0.79%",12,"1.59%",294,"38.84%",14,"1.85%",1,"0.13%",90,"11.89%",16,"2.11%",66,"8.72%",0,"0.00%",69,"9.11%",91,"12.02%",1,"0.13%",64,"8.45%"
"УИК №1122",1991,1500,0,445,7,1048,7,445,6,446,40,20,4,20,4,0,0,0,0,15,"3.32%",3,"0.66%",9,"1.99%",190,"42.04%",5,"1.11%",0,"0.00%",44,"9.73%",7,"1.55%",41,"9.07%",1,"0.22%",22,"4.87%",39,"8.63%",3,"0.66%",67,"14.82%"
"УИК №1123",2457,2000,0,527,9,1464,9,526,14,521,40,24,8,16,1,0,0,0,0,9,"1.68%",7,"1.31%",11,"2.06%",239,"44.67%",11,"2.06%",0,"0.00%",52,"9.72%",9,"1.68%",47,"8.79%",2,"0.37%",37,"6.92%",47,"8.79%",2,"0.37%",48,"8.97%"
"УИК №1124",3070,2500,0,871,0,1629,0,869,10,859,40,20,32,20,5,0,0,0,0,28,"3.22%",9,"1.04%",15,"1.73%",303,"34.87%",20,"2.30%",6,"0.69%",113,"13.00%",39,"4.49%",89,"10.24%",3,"0.35%",98,"11.28%",79,"9.09%",1,"0.12%",56,"6.44%"
"УИК №1125",1994,1500,0,522,17,961,17,522,16,523,40,19,7,21,1,0,0,0,0,16,"2.97%",4,"0.74%",10,"1.86%",237,"43.97%",10,"1.86%",2,"0.37%",65,"12.06%",8,"1.48%",24,"4.45%",3,"0.56%",28,"5.19%",52,"9.65%",0,"0.00%",64,"11.87%"
"УИК №1126",2112,2000,0,587,17,1396,17,587,18,586,50,39,5,11,3,0,0,0,0,14,"2.32%",2,"0.33%",11,"1.82%",242,"40.07%",10,"1.66%",2,"0.33%",88,"14.57%",6,"0.99%",44,"7.28%",1,"0.17%",30,"4.97%",63,"10.43%",2,"0.33%",71,"11.75%"
